AllocateAddress,closed,,
AssignPrivateIpAddresses,closed,,
AssociateAddress,closed,,
AssociateDhcpOptions,closed,,
AssociateRouteTable,closed,,
AttachInternetGateway,closed,,
AttachNetworkInterface,closed,,
AttachVolume,closed,,
AttachVpnGateway,closed,,
AuthorizeSecurityGroupEgress,closed,,
AuthorizeSecurityGroupIngress,closed,,
BundleInstance,,,
CancelBundleTask,,,
CancelConversionTask,,,
CancelExportTask,,,
CancelReservedInstancesListing,,,
CancelSpotInstanceRequests,,,
ConfirmProductInstance,,,
CopySnapshot,closed,,
CreateCustomerGateway,closed,,
CreateDhcpOptions,closed,,
CreateImage,closed,,
CreateInstanceExportTask,,,
CreateInternetGateway,closed,,
CreateKeyPair,closed,,
CreateNetworkAcl,closed,,
CreateNetworkAclEntry,closed,,
CreateNetworkInterface,closed,,
CreatePlacementGroup,,,
CreateReservedInstancesListing,,,
CreateRoute,closed,,
CreateRouteTable,closed,,
CreateSecurityGroup,closed,,
CreateSnapshot,closed,,
CreateSpotDatafeedSubscription,,,
CreateSubnet,closed,,
CreateTags,closed,,
CreateVolume,closed,,
CreateVpc,closed,,
CreateVpnConnection,closed,,
CreateVpnConnectionRoute,,,
CreateVpnGateway,closed,,
DeleteCustomerGateway,closed,,
DeleteDhcpOptions,closed,,
DeleteInternetGateway,closed,,
DeleteKeyPair,closed,,
DeleteNetworkAcl,closed,,
DeleteNetworkAclEntry,closed,,
DeleteNetworkInterface,closed,,
DeletePlacementGroup,,,
DeleteRoute,closed,,
DeleteRouteTable,closed,,
DeleteSecurityGroup,closed,,
DeleteSnapshot,closed,,
DeleteSpotDatafeedSubscription,,,
DeleteSubnet,closed,,
DeleteTags,closed,,
DeleteVolume,closed,,
DeleteVpc,closed,,
DeleteVpnConnection,closed,,
DeleteVpnConnectionRoute,,,
DeleteVpnGateway,closed,,
DeregisterImage,closed,,
DescribeAddresses,closed,,
DescribeAvailabilityZones,closed,,
DescribeBundleTasks,,,
DescribeConversionTasks,,,
DescribeCustomerGateways,closed,,
DescribeDhcpOptions,closed,,
DescribeExportTasks,,,
DescribeImageAttribute,closed,,
DescribeImages,closed,,
DescribeInstanceAttribute,closed,,
DescribeInstances,closed,,
DescribeInstanceStatus,closed,,
DescribeInternetGateways,closed,,
DescribeKeyPairs,closed,,
DescribeNetworkAcls,closed,,
DescribeNetworkInterfaceAttribute,closed,,
DescribeNetworkInterfaces,closed,,
DescribePlacementGroups,,,
DescribeRegions,closed,,
DescribeReservedInstances,,,
DescribeReservedInstancesListings,,,
DescribeReservedInstancesOfferings,,,
DescribeRouteTables,closed,,
DescribeSecurityGroups,closed,,
DescribeSnapshotAttribute,closed,,
DescribeSnapshots,closed,,
DescribeSpotDatafeedSubscription,,,
DescribeSpotInstanceRequests,,,
DescribeSpotPriceHistory,,,
DescribeSubnets,closed,,
DescribeTags,closed,,
DescribeVolumes,closed,,
DescribeVolumeAttribute,closed,,
DescribeVolumeStatus,closed,,
DescribeVpcs,closed,,
DescribeVpnConnections,closed,,
DescribeVpnGateways,closed,,
DetachInternetGateway,closed,,
DetachNetworkInterface,closed,,
DetachVolume,closed,,
DetachVpnGateway,closed,,
DisableVgwRoutePropagation,,,
DisassociateAddress,closed,,
DisassociateRouteTable,closed,,
EnableVgwRoutePropagation,,,
EnableVolumeIO,closed,,
GetConsoleOutput,closed,,
GetPasswordData,,not tested,
ImportInstance,,,
ImportKeyPair,closed,,
ImportVolume,,,
ModifyImageAttribute,closed,,
ModifyInstanceAttribute,closed,,
ModifyNetworkInterfaceAttribute,closed,,
ModifySnapshotAttribute,closed,,
ModifyVolumeAttribute,closed,,
MonitorInstances,,,
PurchaseReservedInstancesOffering,,,
RebootInstances,closed,,
RegisterImage,closed,,
ReleaseAddress,closed,,
ReplaceNetworkAclAssociation,closed,,
ReplaceNetworkAclEntry,closed,,
ReplaceRoute,closed,,
ReplaceRouteTableAssociation,closed,,
ReportInstanceStatus,,,
RequestSpotInstances,,,
ResetImageAttribute,,,
ResetInstanceAttribute,closed,,
ResetNetworkInterfaceAttribute,closed,,
ResetSnapshotAttribute,closed,,
RevokeSecurityGroupEgress,closed,,
RevokeSecurityGroupIngress,closed,,
RunInstances,closed,,
StartInstances,closed,,
StopInstances,closed,,
TerminateInstances,closed,,
UnassignPrivateIpAddresses,closed,,
UnmonitorInstances,,,
